Temperature_C,Salinity_ppt,Optimal_Frequency_kHz,Optimal_Power_W
41.24,0.374,58.61,1.389
58.52,0.333,88.8,1.667
51.96,0.176,78.81,1.085
47.96,0.607,69.93,2.239
34.68,0.477,53.77,1.538
34.68,0.866,52.42,2.313
31.74,0.032,41.03,0.612
55.99,0.644,86.96,2.384
48.03,0.763,72.54,2.522
51.24,0.759,78.38,2.757
30.62,0.886,45.5,2.431
59.1,0.729,89.3,2.795
54.97,0.928,86.97,3.0
36.37,0.333,51.62,1.153
35.45,0.503,48.87,1.804
35.5,0.014,49.99,0.519
39.13,0.007,52.23,0.574
45.74,0.24,64.32,1.245
42.96,0.101,63.72,0.859
38.74,0.26,53.15,1.027
48.36,0.177,65.8,1.119
34.18,0.029,48.11,0.381
38.76,0.909,58.87,2.637
40.99,0.008,57.2,0.573
43.68,0.736,65.68,2.506
53.56,0.152,79.06,1.121
35.99,0.912,53.55,2.683
45.43,0.893,72.99,2.749
47.77,0.654,69.41,2.291
31.39,0.672,47.15,2.069
48.23,0.005,70.48,0.741
35.12,0.985,52.58,2.908
31.95,0.878,46.34,2.484
58.47,0.895,92.95,3.0
58.97,0.659,88.32,2.591
54.25,0.345,79.66,1.712
39.14,0.894,61.76,2.703
32.93,0.292,46.51,1.053
50.53,0.563,72.63,2.211
43.2,0.1,65.22,0.785
33.66,0.922,50.33,2.738
44.86,0.141,63.81,0.938
31.03,0.225,43.51,0.799
57.28,0.558,88.25,2.37
37.76,0.764,60.93,2.375
49.88,0.619,72.2,2.189
39.35,0.232,58.01,0.956
45.6,0.001,66.45,0.511
46.4,0.757,70.51,2.491
35.55,0.985,56.36,3.0
59.09,0.81,93.27,2.86
53.25,0.46,77.2,2.031
58.18,0.904,94.02,3.0
56.84,0.41,82.29,1.767
47.94,0.525,69.58,1.933
57.66,0.477,86.59,1.943
32.65,0.448,50.78,1.404
35.88,0.775,53.44,2.285
31.36,0.527,45.27,1.492
39.76,0.317,60.38,1.408
41.66,0.258,59.6,1.195
38.14,0.038,50.89,0.502
54.86,0.583,82.44,2.273
40.7,0.23,61.25,1.022
38.43,0.148,54.52,0.625
46.28,0.654,73.83,2.497
34.23,0.681,52.33,2.103
54.07,0.752,81.73,2.615
32.24,0.504,46.7,1.449
59.61,0.894,91.03,3.0
53.17,0.936,81.35,3.0
35.96,0.807,63.34,2.558
30.17,0.636,46.12,1.953
54.46,0.304,82.69,1.459
51.21,0.983,78.58,3.0
51.87,0.274,79.78,1.459
53.14,0.203,80.44,1.322
32.22,0.442,49.97,1.486
40.75,0.057,61.21,0.537
33.48,0.978,48.47,2.72
55.89,0.588,82.74,2.248
48.7,0.557,71.25,2.118
39.93,0.656,57.93,2.028
31.91,0.497,46.68,1.567
39.33,0.032,53.99,0.553
39.76,0.612,63.43,2.089
51.89,0.716,83.13,2.582
49.13,0.417,73.09,1.644
56.62,0.757,91.04,2.841
44.17,0.227,67.0,1.058
33.59,0.221,46.17,1.012
51.4,0.161,71.19,1.087
52.82,0.372,78.31,1.7
46.84,0.847,70.73,2.772
53.13,0.828,82.39,2.848
44.81,0.383,66.18,1.607
45.68,0.589,68.75,2.118
42.83,0.721,65.89,2.421
30.76,0.241,40.24,0.955
33.24,0.168,47.01,0.684
30.94,0.972,46.46,2.771
49.09,0.618,74.65,2.181
39.43,0.981,62.89,2.853
45.26,0.338,63.99,1.426
57.23,0.703,87.22,2.617
37.48,0.223,53.06,1.026
42.31,0.261,60.24,1.284
52.67,0.512,81.14,2.138
36.86,0.32,51.46,1.263
32.31,0.168,43.59,0.807
38.69,0.263,54.07,1.139
34.84,0.036,50.14,0.547
57.89,0.704,87.87,2.658
54.24,0.492,82.66,2.011
49.0,0.094,74.92,1.088
56.14,0.172,82.71,1.208
54.11,0.103,81.42,1.155
35.6,0.613,55.97,1.835
56.78,0.094,85.46,1.136
46.18,0.754,70.38,2.624
54.22,0.021,80.16,0.683
56.88,0.249,81.93,1.472
39.54,0.891,59.05,2.775
33.3,0.719,48.38,2.183
36.84,0.073,55.86,0.649
42.81,0.821,63.8,2.62
54.54,0.493,80.57,1.936
55.82,0.847,84.31,3.0
30.21,0.601,45.06,1.766
45.32,0.682,68.89,2.346
42.52,0.994,68.17,2.982
36.66,0.232,53.4,0.832
33.6,0.624,46.74,1.858
40.13,0.46,57.35,1.538
58.29,0.039,88.23,1.052
39.7,0.014,55.19,0.482
45.56,0.119,67.99,0.868
51.09,0.649,77.34,2.259
40.91,0.567,58.92,1.944
59.15,0.553,89.36,2.209
58.87,0.032,84.45,1.036
37.55,0.469,53.77,1.648
44.92,0.925,69.82,2.864
39.03,0.398,57.85,1.543
38.55,0.625,54.24,2.034
31.11,0.78,46.41,2.273
48.29,0.784,72.79,2.509
45.08,0.519,65.95,1.894
31.54,0.858,47.88,2.501
38.36,0.391,54.62,1.552
57.25,0.889,91.69,3.0
37.19,0.24,55.32,1.227
34.35,0.28,51.0,1.132
44.68,0.053,62.82,0.605
59.57,0.796,90.16,2.813
37.26,0.417,54.29,1.602
50.16,0.229,73.34,1.376
52.85,0.232,76.73,1.338
37.13,0.901,54.46,2.708
51.85,0.834,79.87,2.729
41.03,0.554,60.17,2.01
48.97,0.616,75.42,2.141
49.01,0.474,74.59,1.934
46.07,0.392,70.27,1.709
