Temperature_C,Salinity_ppt,Optimal_Frequency_kHz,Optimal_Power_W
30.8174,45.8511,61.1675,2.9878
37.7306,24.2804,62.5092,2.2657
79.2524,45.1884,75.6072,3.5
0.5448,6.7229,50.4815,0.9055
-3.9541,1.6587,50.7168,0.5971
66.8893,19.2097,69.1131,2.5201
16.4661,10.4192,55.6255,1.308
41.462,30.7205,64.5094,2.655
26.8435,43.9531,61.2924,2.8024
43.3969,36.5283,65.4349,2.9524
14.3815,27.5246,55.7182,2.0314
24.5704,46.347,56.5588,2.8756
48.3237,28.9468,65.3075,2.7166
81.4959,45.0693,73.2583,3.5
74.6313,11.7038,70.1408,2.0503
68.5135,9.7833,68.0325,1.7767
12.0881,23.0332,54.1415,1.8364
0.0507,46.11,53.2922,2.201
22.9198,28.0261,56.062,2.2035
71.7958,2.9314,68.1931,1.3951
61.6123,36.6466,71.113,3.292
68.141,25.6441,72.2562,2.8768
29.747,45.7408,60.0736,2.9725
28.2831,30.8442,59.0207,2.3707
81.5225,20.011,70.7589,2.7719
50.8923,25.1265,66.5855,2.436
57.3307,40.7396,70.4542,3.4693
-7.7816,21.721,52.2535,1.4409
23.3427,42.5042,55.8392,2.6829
18.2768,33.6919,55.4604,2.273
78.9535,9.6395,71.3723,1.9487
77.8986,46.2039,75.2008,3.5
-6.3707,3.4,51.0836,0.6757
60.0991,21.3,70.521,2.52
8.6821,18.5402,51.8092,1.4795
40.2272,26.7483,62.6326,2.4997
51.3014,46.5789,68.6855,3.5
64.8172,47.1582,71.6697,3.5
29.7979,48.3205,60.965,3.0854
21.805,34.5105,57.1674,2.4982
-2.96,36.3621,53.7966,1.9599
19.9187,0.4547,55.0663,0.7745
25.0026,36.337,57.8837,2.5107
56.7279,44.1951,72.0379,3.5
-9.5032,48.7436,54.4293,1.9625
0.6324,20.8354,52.6223,1.4002
36.0297,45.1388,62.6249,3.1474
-7.1475,2.799,48.3802,0.6869
-8.5645,30.4991,51.4449,1.6149
20.5975,44.7151,54.9737,2.6921
55.2011,18.2526,66.8443,2.2244
39.4307,26.3721,65.0565,2.4353
-1.8385,26.7515,53.588,1.5536
12.7221,15.5703,52.7177,1.3643
-5.0627,27.4242,52.02,1.6001
21.9149,8.8312,55.5311,1.2656
81.7176,9.991,71.6197,2.0226
-1.2742,29.6672,52.0041,1.7528
36.2053,10.4044,61.5122,1.4862
26.9769,47.9964,58.8087,2.9309
22.3391,18.0739,54.293,1.6415
14.4605,1.1172,53.9927,0.7546
41.5561,32.6915,66.2046,2.885
-6.2954,28.6564,52.986,1.5694
63.6482,38.151,71.0026,3.4802
5.3299,37.5194,52.7751,2.1618
74.4551,1.3227,69.9096,1.2643
57.093,22.7973,69.8488,2.4793
44.5573,11.3385,62.6876,1.6451
