Temperature_C,Salinity_ppt,Optimal_Frequency_kHz,Optimal_Power_W
-8.0612,30.6122,52.4978,1.4404
59.3126,3.5888,62.6076,1.5888
36.498,2.6178,59.2779,1.236
-0.3061,21.4286,53.7999,1.375
-0.3061,14.2857,53.072,1.1258
1.6327,2.0408,52.5164,0.6289
65.6122,11.2245,64.2305,2.1275
24.898,50.0,61.5016,2.7171
15.2041,48.9796,59.3644,2.4467
-10.0,32.6531,52.2628,1.4391
17.1429,50.0,59.8751,2.4991
44.2857,4.0816,60.4956,1.4133
19.0816,18.3673,57.5637,1.6896
75.3061,15.3061,65.6765,2.4784
26.1846,21.6383,59.1527,1.9585
49.4597,17.1323,62.6023,2.1935
34.5918,21.4286,60.6381,2.1243
61.2462,21.2425,64.6442,2.5971
75.3061,34.6939,67.9139,3.4085
55.9184,21.4286,63.9425,2.5082
40.4082,18.3673,61.3572,2.1014
63.3702,13.2138,64.169,2.1883
22.9592,22.449,58.6102,1.9198
71.4286,12.2449,64.9527,2.2597
56.7502,4.8683,62.3648,1.6363
-8.0612,10.2041,50.992,0.7996
53.4172,6.2978,62.0918,1.6786
53.9796,6.1224,62.1614,1.6556
52.0505,38.7753,65.1761,3.1112
59.7959,9.1837,63.2541,1.9087
13.2653,39.7959,58.1277,2.2158
73.3673,7.1429,64.5834,1.9639
-2.3829,17.6164,52.8035,1.1975
1.6853,17.7979,53.8287,1.3135
-0.3061,35.7143,54.7481,1.7845
7.4234,46.3191,57.4819,2.1807
34.4031,16.4117,60.1404,1.9129
81.9467,8.8577,65.6665,2.1681
27.5381,48.3636,61.8818,2.7603
85.0,41.8367,69.7503,3.8682
23.2619,33.0834,59.6372,2.2892
-4.2865,26.2735,53.1489,1.4403
46.2245,0.0,60.4049,1.2157
19.0816,1.0204,55.9646,0.8849
63.6735,16.3265,64.5006,2.3688
70.1962,25.7048,66.2468,2.9273
-6.2362,36.65,53.4709,1.6242
74.5745,47.6193,69.138,3.8744
83.7189,1.0957,64.9205,1.6725
59.1806,32.8677,65.6282,3.0566
4.4499,15.8471,54.3665,1.2828
73.7831,32.2863,67.3769,3.292
-8.0612,50.0,53.9801,1.7311
50.3339,39.3775,64.9347,3.111
75.3061,22.449,66.5018,2.851
36.751,7.7414,59.8403,1.5099
-4.1837,22.449,52.8775,1.322
