Temperature_C,Salinity_ppt,Optimal_Frequency_kHz,Optimal_Power_W
23.67,47.79,101.262,4.1908
20.26,2.86,45.433,1.7551
44.12,9.38,93.725,1.944
74.58,0.78,102.735,0.7223
38.77,37.76,112.945,3.609
62.96,45.22,141.162,3.9868
66.16,0.31,100.875,1.0052
25.61,33.23,92.043,3.3301
38.71,7.13,82.896,1.8035
20.95,40.54,92.744,3.7478
56.82,7.31,102.985,1.5723
43.23,46.04,127.574,4.315
27.65,0.93,62.467,1.7121
49.89,0.03,87.017,1.2562
36.1,48.82,118.211,4.2195
70.05,34.57,133.993,2.8968
69.56,6.4,107.138,1.1331
21.59,47.19,99.536,4.1733
73.29,7.7,107.944,1.0474
48.98,0.11,86.058,1.2863
77.01,47.61,150.0,3.9385
27.85,44.86,108.074,4.1325
24.47,48.29,102.999,4.2094
29.36,0.48,66.165,1.6452
61.36,8.25,105.231,1.4743
31.09,0.99,68.037,1.677
67.48,38.84,135.877,3.2191
58.28,48.21,141.852,4.4302
74.57,0.29,105.656,0.7386
77.94,45.85,143.524,3.396
53.63,0.59,92.442,1.2722
37.25,36.44,111.4,3.7182
64.14,47.16,142.751,4.1062
73.32,0.75,108.847,0.859
36.08,35.51,107.57,3.5175
58.2,0.87,97.964,1.2051
60.16,46.6,136.178,3.9927
30.15,49.59,114.595,4.3262
73.45,46.07,150.0,3.8274
59.83,0.84,96.636,1.1489
51.64,0.11,86.222,1.2454
31.94,32.95,103.965,3.4301
56.07,0.76,92.408,1.1962
27.79,40.77,105.511,3.8864
33.73,0.32,69.521,1.5414
50.79,45.77,131.019,4.09
72.78,7.23,110.937,1.1329
34.02,47.24,115.996,4.3961
69.6,44.96,146.33,3.9313
27.63,33.01,96.876,3.2341
32.56,36.32,101.727,3.4454
65.71,0.91,103.662,1.0594
51.09,47.43,135.112,4.3328
23.27,28.89,77.177,2.843
21.46,42.42,97.701,4.0086
34.02,26.33,105.807,3.2366
27.15,1.54,62.565,1.7067
67.7,30.93,131.326,2.7751
71.55,12.93,111.515,1.3939
74.83,11.55,110.851,1.216
40.31,32.38,108.035,3.1641
42.49,0.37,80.12,1.4531
24.74,23.82,75.515,2.528
40.43,44.45,121.061,4.0336
30.27,35.17,102.276,3.5569
57.25,43.68,135.408,4.0616
28.81,49.75,111.393,4.4194
71.38,49.97,144.701,4.0493
53.58,0.97,91.303,1.2858
67.95,15.4,115.527,1.6959
28.11,0.93,65.965,1.7574
73.42,0.35,105.432,0.8137
45.16,36.2,114.757,3.3626
24.81,19.95,72.012,2.4815
58.79,3.1,99.463,1.239
21.44,42.61,95.878,3.9293
41.58,38.36,111.279,3.4697
39.46,16.82,97.346,2.3924
48.86,0.02,85.274,1.3132
69.37,49.38,142.401,3.7797
39.65,0.95,73.453,1.4483
37.85,44.55,114.901,4.0185
53.03,40.0,128.204,3.7996
61.05,0.56,99.733,1.1424
23.95,32.91,88.402,3.1673
45.86,37.21,115.607,3.369
62.78,21.84,114.691,2.1607
42.0,38.66,113.969,3.5823
56.57,46.07,139.957,4.2495
62.33,47.31,144.075,4.307
